,image,username,clusterid,1d,2d,img_url,centroid
269,gillianyoong_143.jpg,gillianyoong,1,-0.94580734,-2.1250856,https://drive.google.com/uc?export=view&id=1o55tpsZzhlFkmGjVhh3bGp5PSpH6JDjm,0
270,jadeseah_156.jpg,jadeseah,1,-1.4687101,-1.2707962,https://drive.google.com/uc?export=view&id=1o3LKMvgV_AMAkmnvUM3QidmikgCg5Ydd,0
271,gillianyoong_152.jpg,gillianyoong,1,-2.4901786,-1.2380484,https://drive.google.com/uc?export=view&id=1pthyTLM0y-fbEL9Xwjmu7pg0dj7qtc4J,0
272,jadeseah_153.jpg,jadeseah,1,-2.8330765,-1.7357582,https://drive.google.com/uc?export=view&id=1pstGA3EpPE1Vp1b39Sgpu3MD5LFU7_nI,0
273,gillianyoong_148.jpg,gillianyoong,2,-3.0165458,0.5993612,https://drive.google.com/uc?export=view&id=1ppSr9Es8scx-GWUre7E_6CHLIIZ-NMf-,0
274,gillianyoong_147.jpg,gillianyoong,0,-1.3260406,0.29759482,https://drive.google.com/uc?export=view&id=1pkdeljAWKzSggaTiW8NvMFKEQZ3c9WPm,0
275,gillianyoong_139.jpg,gillianyoong,1,-0.37077418,-0.868259,https://drive.google.com/uc?export=view&id=1pdMKiC4fWdFCDUsevH57pAHWHeTQos57,0
276,gillianyoong_140.jpg,gillianyoong,3,0.40863994,0.29866603,https://drive.google.com/uc?export=view&id=1pVgtQLBQejKGrJvYa5jt6_LRgDRldr5U,0
277,gillianyoong_142.jpg,gillianyoong,0,-0.99941236,0.2707295,https://drive.google.com/uc?export=view&id=1pRPXpHrwsgMCjiRHwjKvGVA1qarjM_1P,0
278,gillianyoong_150.jpg,gillianyoong,4,-0.33731115,-1.3579547,https://drive.google.com/uc?export=view&id=1pOrOXYtYwX2BIspeERFaUTB-CbpzqQZg,0
279,gillianyoong_146.jpg,gillianyoong,0,-1.1680815,-0.07469979,https://drive.google.com/uc?export=view&id=1pKYdKImv9PrgT2WjqKWVoE5ooqo5XISV,0
280,jadeseah_154.jpg,jadeseah,1,-2.5035403,-1.579639,https://drive.google.com/uc?export=view&id=1pJqNzQ55AmBfFwICBQa1WDCk8vbXX-F9,0
281,gillianyoong_151.jpg,gillianyoong,1,-1.2123032,-1.244562,https://drive.google.com/uc?export=view&id=1pIvG6KcYCA4I3Dw9Qhov_LSIKvj17HwF,0
282,jadeseah_155.jpg,jadeseah,1,-2.5617192,-0.52447623,https://drive.google.com/uc?export=view&id=1pGq0KHYKwWNzShvsqSrD-v59MG2zgX1u,0
283,jadeseah_170.jpg,jadeseah,1,-3.069278,-1.8388057,https://drive.google.com/uc?export=view&id=1pGM8bbBuUdRkOgTzvslb4RKVkpMysJVQ,0
284,jadeseah_175.jpg,jadeseah,1,-2.5591614,-1.9560883,https://drive.google.com/uc?export=view&id=1p8asq1bnaB3QpBe_YDVhYjpf1jJu63fK,0
285,jadeseah_167.jpg,jadeseah,1,-2.1184094,-1.9225794,https://drive.google.com/uc?export=view&id=1p8S4dIK0O0dYoPfusw9WGuVXhghUtKou,0
286,jadeseah_168.jpg,jadeseah,1,-2.678792,-1.8801849,https://drive.google.com/uc?export=view&id=1qxoomI1_eZeVDCPeh8Xya3Lz-aIhV3Ho,0
287,jadeseah_158.jpg,jadeseah,1,-2.4088929,-1.616904,https://drive.google.com/uc?export=view&id=1qu_y0gIMhC0jww5rL82YCeyGdm5f0t1C,0
288,jadeseah_164.jpg,jadeseah,1,-2.1953945,-1.8380269,https://drive.google.com/uc?export=view&id=1qtr-usP4vkvtZ78s5F-F8UexiOaBPGKo,0
289,jadeseah_163.jpg,jadeseah,2,-2.5747535,0.26241294,https://drive.google.com/uc?export=view&id=1qqEUXQ6ErVXHQUo-DtWk4ZDguZb-SEDh,0
290,jadeseah_172.jpg,jadeseah,1,-2.3544297,-1.5949119,https://drive.google.com/uc?export=view&id=1qptWytzeSdaohQ_UeRnsujAcbR4uagH7,0
291,jadeseah_176.jpg,jadeseah,1,-2.579961,-1.4682188,https://drive.google.com/uc?export=view&id=1qojJZo-HbyupOnuCrYd1ZsdxWXSnKTAt,0
